symbol,side,entry_time,exit_time,entry_price,exit_price,volume,pnl,exit_reason
XAUUSD,sell,2026-05-12 06:45:00+00:00,2026-05-12 07:05:00+00:00,4720.26,4722.39,14.564104302289051,-31.021542163877267,short_momentum_lost
XAUUSD,sell,2026-05-12 07:51:00+00:00,2026-05-12 08:20:00+00:00,4717.73,4716.64,14.567804767326074,15.878907196374291,short_momentum_lost
XAUUSD,sell,2026-05-12 09:00:00+00:00,2026-05-12 09:34:00+00:00,4708.27,4702.99,14.59918102782757,77.08367582693913,short_momentum_lost
XAUUSD,sell,2026-05-12 10:02:00+00:00,2026-05-12 10:11:00+00:00,4694.15,4697.59,14.653355732476115,-50.4075437197253,short_momentum_lost
XAUUSD,buy,2026-05-12 10:41:00+00:00,2026-05-12 11:10:00+00:00,4701.61,4700.42,14.624961380475433,-17.403704042759912,long_momentum_lost
XAUUSD,buy,2026-05-12 11:45:00+00:00,2026-05-12 12:01:00+00:00,4706.3,4700.49,14.608074950475563,-84.87291546226886,long_momentum_lost
XAUUSD,sell,2026-05-12 16:13:00+00:00,2026-05-12 16:22:00+00:00,4689.88,4695.19,14.64635000490868,-77.77211852605762,short_momentum_lost
XAUUSD,sell,2026-05-12 16:57:00+00:00,2026-05-12 17:04:00+00:00,4686.57,4690.61,14.646322661088837,-59.17114355079837,short_momentum_lost
XAUUSD,sell,2026-05-12 17:26:00+00:00,2026-05-12 17:38:00+00:00,4684.79,4686.29,14.643993649941642,-21.965990474912463,short_momentum_lost
XAUUSD,buy,2026-05-13 16:18:00+00:00,2026-05-13 16:29:00+00:00,4692.03,4688.79,14.620030620718625,-47.368899211125154,long_momentum_lost
XAUUSD,sell,2026-05-13 16:38:00+00:00,2026-05-13 16:54:00+00:00,4674.96,4682.84,14.665514854662849,-115.56425705474484,short_momentum_lost
XAUUSD,buy,2026-05-13 17:31:00+00:00,2026-05-13 17:44:00+00:00,4688.78,4683.82,14.608445300128631,-72.45788868863855,long_momentum_lost
XAUUSD,sell,2026-05-14 16:18:00+00:00,2026-05-14 16:40:00+00:00,4693.85,4680.0177,14.58146351006182,201.69517771022856,take_profit
XAUUSD,sell,2026-05-14 16:40:00+00:00,2026-05-14 16:47:00+00:00,4675.27,4686.26,14.666370232326894,-161.18340885326936,short_momentum_lost
XAUUSD,buy,2026-05-14 17:19:00+00:00,2026-05-14 17:25:00+00:00,4694.93,4689.37,14.585055364394364,-81.0929078260385,long_momentum_lost
XAUUSD,sell,2026-05-14 17:46:00+00:00,2026-05-14 17:50:00+00:00,4685.29,4689.97,14.602689263292032,-68.34058575221096,short_momentum_lost
XAUUSD,sell,2026-05-15 16:00:00+00:00,2026-05-15 16:17:00+00:00,4542.5,4548.22,15.052285902730368,-86.09907536362154,short_momentum_lost
XAUUSD,buy,2026-05-15 16:25:00+00:00,2026-05-15 16:28:00+00:00,4556.84,4547.47,14.994757014023303,-140.50087322139672,long_momentum_lost
XAUUSD,sell,2026-05-15 16:35:00+00:00,2026-05-15 16:41:00+00:00,4538.65,4525.2833,15.033851112992927,200.95297767203627,take_profit
XAUUSD,sell,2026-05-15 16:44:00+00:00,2026-05-15 16:54:00+00:00,4519.79,4534.68,15.124366693172444,-225.20182006134266,short_momentum_lost
XAUUSD,buy,2026-05-15 17:17:00+00:00,2026-05-15 17:41:00+00:00,4552.82,4551.84,14.985379970054183,-14.685672370646557,long_momentum_lost
XAUUSD,buy,2026-05-15 17:56:00+00:00,2026-05-15 18:02:00+00:00,4563.7,4553.45,14.947641092821721,-153.21332120142264,long_momentum_lost
