symbol,side,entry_time,exit_time,entry_price,exit_price,volume,pnl,exit_reason
BTCUSDm,sell,2026-03-27 10:30:00+00:00,2026-03-27 14:15:00+00:00,66857.25,66212.77824,0.5735821320030308,369.6574861165458,stop_loss
BTCUSDm,sell,2026-03-27 14:15:00+00:00,2026-03-27 15:30:00+00:00,65682.28,66498.2094010076,0.4950845652477519,-403.95405277070495,stop_loss
BTCUSDm,buy,2026-03-30 08:00:00+00:00,2026-03-30 14:15:00+00:00,67830.67,67237.4000870843,0.6797267800957318,-403.2614476338621,stop_loss
BTCUSDm,sell,2026-03-31 09:15:00+00:00,2026-03-31 13:30:00+00:00,66367.92,66982.11391604014,0.6537323460673045,-401.5184296731844,stop_loss
BTCUSDm,buy,2026-03-31 17:00:00+00:00,2026-04-01 00:15:00+00:00,68393.0,67941.6,0.363004615538453,-163.86028345405555,btc_long_regime_lost
BTCUSDm,buy,2026-04-01 06:15:00+00:00,2026-04-01 09:00:00+00:00,68805.08,68466.79,0.6694260002880205,-226.4601216374399,btc_long_regime_lost
BTCUSDm,sell,2026-04-02 02:00:00+00:00,2026-04-02 07:30:00+00:00,66841.23,66837.25,0.4905944230211231,1.952565803622071,btc_short_regime_lost
BTCUSDm,buy,2026-04-04 15:00:00+00:00,2026-04-05 00:45:00+00:00,67374.41,67189.75,1.6017756884204326,-295.7838986237227,btc_long_regime_lost
BTCUSDm,buy,2026-04-05 22:30:00+00:00,2026-04-06 00:00:00+00:00,67941.78,69183.21725650116,0.8216686572602976,1020.0500836222142,take_profit
BTCUSDm,buy,2026-04-06 00:00:00+00:00,2026-04-06 17:00:00+00:00,69223.83,69572.3824,0.6272476497155848,218.6286737027267,stop_loss
BTCUSDm,sell,2026-04-07 14:00:00+00:00,2026-04-07 17:30:00+00:00,67875.19,68496.29483185365,0.6473927514929073,-402.09876605927315,stop_loss
BTCUSDm,buy,2026-04-07 20:00:00+00:00,2026-04-07 22:30:00+00:00,69425.2,71211.12233504145,0.5767189557071283,1029.9752640391434,take_profit
BTCUSDm,buy,2026-04-07 22:30:00+00:00,2026-04-07 23:15:00+00:00,70745.58,72177.82079999999,0.4301813683939847,616.1233072136889,stop_loss
BTCUSDm,buy,2026-04-07 23:15:00+00:00,2026-04-08 00:45:00+00:00,72764.9,71558.48653068574,0.3361355701739269,-405.5184793734524,stop_loss
BTCUSDm,buy,2026-04-08 12:45:00+00:00,2026-04-08 13:45:00+00:00,72069.76,71566.9441638809,0.807960893210435,-406.25553207114115,stop_loss
BTCUSDm,buy,2026-04-09 17:00:00+00:00,2026-04-09 18:30:00+00:00,72493.12,71852.65,0.5130494959306796,-328.59281065872295,btc_long_regime_lost
BTCUSDm,buy,2026-04-11 18:30:00+00:00,2026-04-11 23:00:00+00:00,73507.21,73128.78649702504,1.0692319338585756,-404.6224939034624,stop_loss
BTCUSDm,sell,2026-04-12 01:30:00+00:00,2026-04-12 19:00:00+00:00,71764.13,71166.47,0.6378851936456277,381.2384648342481,btc_short_regime_lost
BTCUSDm,buy,2026-04-13 22:00:00+00:00,2026-04-14 00:45:00+00:00,73786.48,74149.0736,0.561665289865897,203.6562394475233,stop_loss
BTCUSDm,buy,2026-04-14 07:00:00+00:00,2026-04-14 11:45:00+00:00,74806.93,74336.17407560127,0.8588133872737533,-404.2914900120515,stop_loss
BTCUSDm,buy,2026-04-14 13:30:00+00:00,2026-04-14 15:00:00+00:00,75231.12,74717.75959455996,0.7836571315399713,-402.29854277333436,stop_loss
BTCUSDm,sell,2026-04-15 07:15:00+00:00,2026-04-15 08:30:00+00:00,73733.17,74196.70618407428,0.8652993519923892,-401.0975597045031,stop_loss
BTCUSDm,buy,2026-04-17 13:00:00+00:00,2026-04-17 13:30:00+00:00,76953.91,76152.17168726138,0.49598050751120193,-397.6465752432792,stop_loss
BTCUSDm,buy,2026-04-17 13:45:00+00:00,2026-04-17 18:00:00+00:00,77381.68,77186.86,0.3955696720536746,-77.0648835094939,btc_long_regime_lost
BTCUSDm,sell,2026-04-18 10:00:00+00:00,2026-04-19 07:15:00+00:00,76314.56,75161.84591427831,0.8832028239739912,1018.0803357439916,take_profit
BTCUSDm,sell,2026-04-19 17:45:00+00:00,2026-04-20 01:30:00+00:00,74814.01,74412.56592000001,0.5908018777350029,237.1739162695928,stop_loss
BTCUSDm,buy,2026-04-22 02:45:00+00:00,2026-04-22 16:00:00+00:00,77616.67,79497.55617712412,0.5491057767144573,1032.8054652012265,take_profit
BTCUSDm,sell,2026-04-23 09:00:00+00:00,2026-04-23 14:45:00+00:00,77594.1,78125.21729908549,0.7648865879131385,-406.24449867913694,stop_loss
BTCUSDm,sell,2026-04-23 17:30:00+00:00,2026-04-23 18:00:00+00:00,77205.82,77988.82288493945,0.515158870877517,-403.3708820992423,stop_loss
BTCUSDm,buy,2026-04-27 00:45:00+00:00,2026-04-27 05:00:00+00:00,79271.18,78517.63233051519,0.5332747939636213,-401.84797818627584,stop_loss
BTCUSDm,sell,2026-04-27 15:00:00+00:00,2026-04-27 23:15:00+00:00,77368.61,77116.17,0.6959451413383255,175.68439147944852,btc_short_regime_lost
BTCUSDm,sell,2026-04-28 14:15:00+00:00,2026-04-28 17:30:00+00:00,75804.7,76175.89,0.7475675897691826,-277.48961364642463,btc_short_regime_lost
BTCUSDm,buy,2026-04-29 04:30:00+00:00,2026-04-29 12:15:00+00:00,77299.68,77137.76,0.8948160295233666,-144.88861150042194,btc_long_regime_lost
BTCUSDm,sell,2026-04-29 15:00:00+00:00,2026-04-29 18:00:00+00:00,76234.62,75760.56431999999,0.6368077092714045,301.88231164790113,stop_loss
BTCUSDm,sell,2026-04-29 18:00:00+00:00,2026-04-29 21:45:00+00:00,75154.29,75976.43488225363,0.4868108151378757,-400.229020291324,stop_loss
BTCUSDm,buy,2026-04-30 13:30:00+00:00,2026-04-30 14:15:00+00:00,76592.92,76112.54336438913,0.8334318947445795,-400.3612096081922,stop_loss
BTCUSDm,buy,2026-05-01 13:00:00+00:00,2026-05-01 20:15:00+00:00,78348.64,78137.47,0.7960578321238236,-168.10353240958645,btc_long_regime_lost
BTCUSDm,buy,2026-05-02 21:30:00+00:00,2026-05-03 00:15:00+00:00,78807.41,78524.5884745806,1.4178893826593346,-401.00963807969487,stop_loss
BTCUSDm,buy,2026-05-03 11:30:00+00:00,2026-05-03 18:45:00+00:00,78707.84,78721.45,1.502222782777295,20.445252073599857,btc_long_regime_lost
BTCUSDm,buy,2026-05-05 13:00:00+00:00,2026-05-05 13:45:00+00:00,81639.34,81198.82691696823,0.9010014828733712,-396.90294103674063,stop_loss
BTCUSDm,sell,2026-05-07 10:15:00+00:00,2026-05-07 12:00:00+00:00,80607.5,81083.2107038651,0.830255863419302,-394.9616011753234,stop_loss
BTCUSDm,sell,2026-05-07 14:30:00+00:00,2026-05-08 08:30:00+00:00,80131.35,79866.8,0.641671268969031,169.75413420575902,btc_short_regime_lost
BTCUSDm,buy,2026-05-09 18:15:00+00:00,2026-05-09 22:00:00+00:00,81024.11,80713.41146622172,1.2754705989958808,-396.286844985328,stop_loss
BTCUSDm,buy,2026-05-10 22:30:00+00:00,2026-05-11 00:15:00+00:00,81879.53,81663.29,0.5388061465151264,-116.51144112243375,btc_long_regime_lost
BTCUSDm,sell,2026-05-12 15:15:00+00:00,2026-05-12 19:00:00+00:00,80182.17,80792.42436649592,0.640818671150438,-391.06239220166975,stop_loss
BTCUSDm,sell,2026-05-13 12:15:00+00:00,2026-05-13 15:15:00+00:00,80323.45,79246.76568029722,0.9285190788348141,999.7219327263114,take_profit
BTCUSDm,sell,2026-05-13 15:45:00+00:00,2026-05-13 17:30:00+00:00,78789.19,79392.78773275085,0.652012053594711,-393.55299727598964,stop_loss
BTCUSDm,buy,2026-05-14 16:45:00+00:00,2026-05-14 18:45:00+00:00,81877.04,81573.38,0.5050559018831273,-153.36527516582487,btc_long_regime_lost
